,Dataset No.,Run No.,Power weight,Num. weight,Dist. weight,Power_first,Num. Active Sensors_first,Avg. Dist. to Sink node_first,Power_last,Num. Active Sensors_last,Avg. Dist. to Sink node_last
76,0.0,3.0,0.1,0.5,0.4,18249.088252531128,30.0,293.7373207709898,12997.068499210432,26.0,299.73506543689916
77,0.0,3.0,0.1,0.6,0.3,16743.829838890066,32.0,305.56438378039263,14096.234686004618,23.0,291.28569378035974
78,0.0,3.0,0.1,0.7,0.2,14778.378503657512,33.0,284.06448889589905,14656.999815080846,21.0,281.6094543670716
79,0.0,3.0,0.1,0.8,0.1,18804.99945224292,25.0,303.7692393823608,15771.74285765406,19.0,296.10748521866543
80,0.0,4.0,0.1,0.1,0.8,16629.983310906347,32.0,320.93466201709833,17095.15961295365,22.0,224.0219420098033
81,0.0,4.0,0.2,0.1,0.7,14634.24654519681,32.0,299.48414034375793,10226.444036634895,35.0,293.61179765770794
82,0.0,4.0,0.5,0.1,0.4,17890.29906897231,28.0,327.5728716913166,9926.062680135248,35.0,288.79024005734846
83,0.0,4.0,0.6,0.1,0.3,18295.86596927007,31.0,302.4901309028489,9893.738270837192,36.0,291.3265968248973
84,0.0,4.0,0.7,0.1,0.2,21742.595325313378,24.0,327.0093088514811,9893.738270837192,36.0,291.3265968248973
85,0.0,4.0,0.8,0.1,0.1,16905.489610455614,29.0,290.3830825706508,10379.453360148718,35.0,283.56006954045114
86,0.0,4.0,0.1,0.2,0.7,19480.501767483354,30.0,303.6350180712118,14058.832234329342,25.0,236.64397951462746
87,0.0,4.0,0.2,0.2,0.6,17699.21787327785,24.0,264.448510938742,10124.527506432902,35.0,294.23499178308276
88,0.0,4.0,0.5,0.2,0.3,15016.630088523872,35.0,277.71971041880704,9893.738270837192,36.0,291.3265968248973
89,0.0,4.0,0.6,0.2,0.2,15617.540652258263,31.0,308.8351340695072,9893.738270837192,36.0,291.3265968248973
90,0.0,4.0,0.7,0.2,0.1,19237.130997300672,29.0,306.15262123217343,9926.062680135248,35.0,288.79024005734846
91,0.0,4.0,0.1,0.3,0.6,14585.105228718216,30.0,296.8964908586196,14058.832234329342,25.0,236.64397951462746
92,0.0,4.0,0.5,0.3,0.2,15228.487196355802,32.0,295.67579037415817,9893.738270837192,36.0,291.3265968248973
93,0.0,4.0,0.6,0.3,0.1,18203.095845812844,33.0,300.955255603952,9926.062680135248,35.0,288.79024005734846
94,0.0,4.0,0.1,0.4,0.5,18030.581919787037,25.0,330.68657606283205,12619.133402786181,29.0,255.96396777026476
95,0.0,4.0,0.5,0.4,0.1,13062.879151125242,36.0,300.3434738690228,9906.145611708342,36.0,291.38322099973783
96,0.0,4.0,0.1,0.5,0.4,14852.81358276248,29.0,289.14757876095604,12268.470037391138,25.0,284.4554117761014
97,0.0,4.0,0.1,0.6,0.3,17489.97651270006,28.0,306.46839258867294,14475.605853273693,24.0,275.9081926641814
98,0.0,4.0,0.1,0.7,0.2,17382.07160761757,24.0,284.6999568172574,14735.5954262693,21.0,284.3908527918914
99,0.0,4.0,0.1,0.8,0.1,16500.372160753403,29.0,288.66533254557595,15970.030567350708,20.0,288.5509168198448
